store_name,address,city,state,country,category,latitude,longitude
FreshMart Koramangala,"80 Feet Road, Koramangala 4th Block",Bengaluru,Karnataka,India,Supermarket,12.9352,77.6245
MediPlus Pharmacy Indiranagar,"100 Feet Road, Indiranagar",Bengaluru,Karnataka,India,Pharmacy,12.9719,77.6412
BigBasket Hyperstore Whitefield,"ITPL Main Road, Whitefield",Bengaluru,Karnataka,India,Hypermarket,,
Daily Needs Grocery HSR,"27th Main Road, HSR Layout Sector 2",Bengaluru,Karnataka,India,Grocery Store,12.9121,77.6446
Apollo Pharmacy Jayanagar,"4th Block, Jayanagar",Bengaluru,Karnataka,India,Pharmacy,12.9250,77.5938
More Supermarket JP Nagar,"24th Main Road, JP Nagar",Bengaluru,Karnataka,India,Supermarket,,
Reliance Smart Malleswaram,"Sampige Road, Malleswaram",Bengaluru,Karnataka,India,Hypermarket,13.0035,77.5709
Corner Store Marathahalli,"Outer Ring Road, Marathahalli",Bengaluru,Karnataka,India,Convenience Store,12.9569,77.7011
Nilgiris Grocery BTM Layout,"29th Main Road, BTM Layout 2nd Stage",Bengaluru,Karnataka,India,Grocery Store,12.9166,77.6101
Wellness Forever Pharmacy Rajajinagar,"Dr Rajkumar Road, Rajajinagar",Bengaluru,Karnataka,India,Pharmacy,,
